ciencia,¿Cuál es el planeta más grande del sistema solar?,Marte,Júpiter,Saturno,Neptuno,2
historia,¿Quién descubrió América?,Cristóbal Colón,Simón Bolívar,Napoleón,Abraham Lincoln,1
cultura,¿En qué año llegó el hombre a la Luna?,1969,1972,1955,1980,1
ciencia,¿Cuál es el símbolo químico del agua?,H,O,HO,H2O,4
historia,¿En qué año comenzó la Segunda Guerra Mundial?,1914,1939,1945,1960,2
ciencia,¿Qué gas necesitan las plantas para hacer la fotosíntesis?,Oxígeno,Hidrógeno,Nitrógeno,Dióxido de carbono,4
historia,¿En qué año cayó el Muro de Berlín?,1989,1991,1975,2000,1
cultura,¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Michelangelo,Salvador Dalí,1
ciencia,¿Qué planeta es conocido como el planeta rojo?,Venus,Marte,Júpiter,Saturno,2
historia,¿Quién fue el primer presidente de Estados Unidos?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,1
cultura,¿Cuál es el idioma más hablado del mundo?,Inglés,Chino mandarín,Español,Hindi,2
ciencia,¿Qué órgano del cuerpo humano bombea la sangre?,Pulmones,Corazón,Hígado,Riñones,2
historia,¿En qué país se originaron los Juegos Olímpicos?,Italia,Grecia,Egipto,China,2
cultura,¿Quién escribió “Don Quijote de la Mancha”?,Miguel de Cervantes,Gabriel García Márquez,William Shakespeare,Pablo Neruda,1
ciencia,¿Qué tipo de animal es una ballena?,Pez,Anfibio,Mamífero,Reptil,3
historia,¿Qué imperio construyó el Coliseo?,Imperio Egipcio,Imperio Romano,Imperio Griego,Imperio Persa,2
cultura,¿Cuál es el país del tango?,México,Italia,Argentina,Brasil,3
ciencia,¿Cuál es la velocidad de la luz aproximada?,300 km/s,3.000 km/s,300.000 km/s,3.000.000 km/s,3
historia,¿Quién fue el libertador de gran parte de Sudamérica?,Napoleón Bonaparte,Simón Bolívar,José de San Martín,Bernardo O’Higgins,2
cultura,¿Cuál es el instrumento musical con teclas blancas y negras?,Piano,Violín,Guitarra,Flauta,1
ciencia,¿Qué vitamina se obtiene del sol?,Vitamina A,Vitamina B,Vitamina C,Vitamina D,4
historia,¿Qué civilización construyó Machu Picchu?,Azteca,Maya,Inca,Romana,3
cultura,¿Qué país es famoso por el sushi?,China,Corea del Sur,Japón,Filipinas,3
ciencia,¿Qué planeta está más cerca del Sol?,Mercurio,Venus,Tierra,Marte,1
historia,¿En qué año se firmó la independencia de Estados Unidos?,1776,1810,1789,1821,1
cultura,¿En qué ciudad se encuentra la Torre Eiffel?,Roma,Londres,París,Berlín,3
ciencia,¿Cuál es el metal más liviano?,Oro,Plata,Aluminio,Litio,4
historia,¿Qué reina inglesa tuvo el reinado más largo hasta 2022?,Isabel I,Isabel II,Ana,Victoria,2
cultura,¿Qué deporte practica Lionel Messi?,Tenis,Baloncesto,Fútbol,Natación,3
